GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,MIN_PER_GAME
Lineups,-1629027-1629726-1630168-1631223-1642258-,T. Young - G. Mathews - O. Okongwu - D. Roddy - Z. Risacher,1610612737,ATL,3,1,2,0.333,9.0,87.0,86.4,124.1,122.7,-37.1,-36.3,0.75,1.5,10.7,0.214,0.667,0.391,0.091,0.265,0.435,111.5,112.54,93.78,22,0.347,1386,1965,8517,5613,1534,6548,6911,7518,3028,2423,6674,5070,5047,7251,4984,7882,7034,3601,6635,3.0
Lineups,-1629027-1630168-1630700-1631223-1642258-,T. Young - O. Okongwu - D. Daniels - D. Roddy - Z. Risacher,1610612737,ATL,5,1,4,0.2,9.0,123.0,115.8,134.0,136.8,-11.0,-21.000000000000014,0.6,2.0,22.2,0.333,0.667,0.533,0.158,0.656,0.652,102.4,104.43,87.02,19,0.484,646,1965,10169,6090,1671,3822,7967,6687,4722,1393,2556,3127,5047,3728,6766,2768,3304,5688,5132,1.8
Lineups,-203995-1628998-1629610-1630182-1641706-,V. Micić - C. Martin - D. Jeffries - J. Green - B. Miller,1610612766,CHA,2,1,1,0.5,9.0,98.2,94.4,123.5,116.7,-25.4,-22.299999999999997,0.571,4.0,18.2,0.0,0.455,0.263,0.056,0.5,0.521,94.5,99.12,82.6,18,0.442,2233,1965,3490,4350,1678,6094,6395,6735,5024,324,4087,6064,7657,8421,4455,4656,5487,7425,5601,4.5
Lineups,-203995-1628998-1630208-1641706-1642275-,V. Micić - C. Martin - N. Richards - B. Miller - T. Salaün,1610612766,CHA,4,0,4,0.0,9.0,96.9,95.2,84.7,84.2,12.2,11.0,0.714,5.0,17.2,0.25,0.571,0.423,0.048,0.444,0.484,104.4,105.69,88.07,21,0.607,917,6174,10169,6174,1597,6066,3467,3893,3475,158,4460,4415,6460,6650,4399,6197,6584,5345,3554,2.25
Lineups,-203995-1629684-1630182-1641706-1642275-,V. Micić - G. Williams - J. Green - B. Miller - T. Salaün,1610612766,CHA,2,0,2,0.0,9.0,107.0,100.0,135.0,131.6,-28.0,-31.599999999999994,1.0,7.0,25.0,0.182,1.0,0.438,0.053,0.5,0.506,98.8,103.44,86.2,19,0.38,2233,6174,8517,6174,1649,4691,7523,7243,1,52,1577,5455,1,6346,4432,4656,5827,6016,6334,4.5
Lineups,-203995-1628970-1629610-1630182-1631217-,V. Micić - M. Bridges - D. Jeffries - J. Green - M. Diabate,1610612766,CHA,2,0,2,0.0,9.0,118.2,123.5,82.8,80.0,35.4,43.5,0.25,0.67,10.0,0.143,0.727,0.5,0.176,0.643,0.666,100.1,99.92,83.27,17,0.667,2233,6174,8517,6174,1639,3170,3111,2231,7162,4353,6726,5740,4569,4036,7297,2858,3124,7185,2913,4.5
Lineups,-1628976-1630532-1631094-1641710-1641783-,W. Carter Jr. - F. Wagner - P. Banchero - A. Black - T. da Silva,1610612753,ORL,2,0,2,0.0,9.0,91.2,93.8,109.5,112.5,-18.2,-18.700000000000003,0.286,1.0,10.0,0.25,0.6,0.385,0.125,0.467,0.486,87.3,84.99,70.82,16,0.382,2233,6174,8517,6174,1611,6119,6057,6517,7137,2977,6726,4415,6169,7282,5787,6002,6578,9930,6313,4.5
Lineups,-203897-1629632-1630188-1630581-1641763-,Z. LaVine - C. White - J. Smith - J. Giddey - J. Phillips,1610612741,CHI,6,3,3,0.5,9.0,108.5,109.5,94.3,85.7,14.2,23.799999999999997,0.375,1.0,11.5,0.2,0.667,0.421,0.143,0.5,0.569,108.0,112.63,93.85,21,0.603,447,561,9709,4350,1627,4296,3511,3185,6724,2977,6443,5124,5047,6662,6219,4656,4728,3592,3575,1.5
Lineups,-1630533-1630549-1630592-1631213-1641730-,Z. Williams - D. Sharpe - J. Wilson - T. Martin - N. Clowney,1610612751,BKN,4,0,4,0.0,9.0,87.4,76.5,105.9,112.5,-18.5,-36.0,0.4,2.0,9.5,0.2,0.6,0.333,0.059,0.367,0.409,85.8,88.82,74.02,17,0.354,917,6174,10169,6174,1634,7115,6057,7505,6591,1393,6886,5124,6169,7568,4480,7041,7300,9544,6584,2.25
Lineups,-202692-202710-1626196-1628418-1629130-,A. Burks - J. Butler - J. Richardson - T. Bryant - D. Robinson,1610612748,MIA,1,0,1,0.0,8.0,117.3,111.8,94.8,94.1,22.5,17.700000000000003,0.667,2.0,17.4,0.286,0.6,0.471,0.118,0.538,0.625,96.0,98.69,82.24,17,0.672,4127,6174,3490,6174,1767,4117,4015,3494,3752,1393,4417,4109,6169,5809,5681,4420,3660,7537,2902,8.0
Lineups,-202692-1626179-1628389-1629312-1629639-,A. Burks - T. Rozier - B. Adebayo - H. Highsmith - T. Herro,1610612748,MIA,3,2,1,0.667,8.0,88.9,93.8,99.6,100.0,-10.7,-6.200000000000003,0.6,0.6,14.3,0.286,0.7,0.529,0.313,0.542,0.582,102.1,99.29,82.74,16,0.341,1386,972,3490,3813,1781,6119,4173,5814,4722,4503,5489,4109,4849,3802,9188,4378,4508,7397,6671,2.6666666666666665
Lineups,-1627936-1628392-1630198-1631114-1631172-,A. Caruso - I. Hartenstein - I. Joe - J. Williams - O. Dieng,1610612760,OKC,1,1,0,1.0,8.0,167.9,180.0,117.1,106.3,50.8,73.7,0.778,7.0,25.9,0.625,1.0,0.769,0.067,0.618,0.672,88.0,89.1,74.25,15,0.708,4127,1965,1,1,1753,779,5631,1352,2952,52,1545,1000,1,1049,4568,3267,2963,9505,2667,8.0
Lineups,-1627936-1628983-1641717-1641794-1642349-,A. Caruso - S. Gilgeous-Alexander - C. Wallace - D. Jones - A. Mitchell,1610612760,OKC,3,2,1,0.667,8.0,138.5,146.7,126.1,120.0,12.5,26.69999999999999,0.375,1.5,13.0,0.556,0.538,0.545,0.133,0.588,0.615,95.9,95.39,79.49,15,0.6,1386,972,3490,3813,1973,1830,6624,2995,6724,2423,6026,1183,6651,3518,6087,3683,3893,8392,3590,2.6666666666666665
